object_id	object_name	visual_verdict	visual_note	settled	stopped_because	final_acceptance	video
10211	Laptop	VISUAL_WARN_SUBTLE	Short laptop-screen impulse is subtle but visible and stops naturally.	True	settled_plus_hold	PASS	outputs/laptop_10211_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
10905	Refrigerator	VISUAL_WARN_SUBTLE	Short refrigerator-door impulse is subtle but coherent and stops naturally.	True	settled_plus_hold	PASS	outputs/refrigerator_10905_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
11100	Scissors	VISUAL_WARN_SUBTLE	Short scissor impulse is subtle but visible at the selected handle contact.	True	settled_plus_hold	PASS	outputs/scissors_11100_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
45135	StorageFurniture	VISUAL_WARN_SUBTLE	Drawer displacement is very subtle but consistent with the short impulse and clean decay.	True	settled_plus_hold	PASS	outputs/storagefurniture_45135_prismatic_manual_contact_global_impulse_decay_check/final_video.mp4
100109	USB	VISUAL_WARN_SUBTLE	USB cover displacement is very subtle at the correct cover-tip contact and cleanly decays.	True	settled_plus_hold	PASS	outputs/usb_100109_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
101917	Oven	VISUAL_WARN_SUBTLE	Oven-door impulse is subtle but follows the selected hinge and stops naturally.	True	settled_plus_hold	PASS	outputs/oven_101917_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
102255	FoldingChair	VISUAL_WARN_SUBTLE	Folding-chair articulation is subtle but physically coherent and cleanly settles.	True	settled_plus_hold	PASS	outputs/foldingchair_102255_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
103111	Stapler	VISUAL_WARN_SUBTLE	Stapler-top impulse is subtle but visible and passively settles.	True	settled_plus_hold	PASS	outputs/stapler_103111_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
103706	Knife	VISUAL_PASS	Knife slider shows a clear quick displacement followed by passive settling.	True	settled_plus_hold	PASS	outputs/knife_103706_prismatic_manual_contact_global_impulse_decay_check/final_video.mp4
103776	WashingMachine	VISUAL_PASS	Washing-machine door shows a clear quick rotation followed by passive settling.	True	settled_plus_hold	PASS	outputs/washingmachine_103776_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
